Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
1,"B Völker, PM Scholls, T Schubert, ...","Towards the Fusion of Intrusive and Non-intrusive Load Monitoring: A Hybrid Approach",2018,"Proceedings of the Ninth …","dl.acm.org","https://dl.acm.org/citation.cfm?id=3212052","https://scholar.google.com/scholar?cites=6500137810423120932&as_sdt=2005&sciodt=0,5&hl=en",243,"2020-01-11 17:36:20","","","","",,,,,1,0.50,0,4,2
6,"L Pereira, NJ Nunes","Towards systematic performance evaluation of non-intrusive load monitoring algorithms and systems",2015,"2015 Sustainable Internet and ICT for …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7101373/","https://scholar.google.com/scholar?cites=10935387092368298733&as_sdt=2005&sciodt=0,5&hl=en",172,"2020-01-11 17:36:20","","","","",,,,,6,1.20,3,2,5
20,"R Enríquez, MJ Jiménez, MR Heras","Towards non-intrusive thermal load Monitoring of buildings: BES calibration",2017,"Applied energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0306261917300570","https://scholar.google.com/scholar?cites=9467689599426606423&as_sdt=2005&sciodt=0,5&hl=en",146,"2020-01-11 17:36:20","","","","",,,,,20,6.67,7,3,3
0,"K Chahine","Towards automatic setup of non intrusive appliance load monitoring-feature extraction and clustering",2019,"International Journal of Electrical and Computer …","search.proquest.com","http://search.proquest.com/openview/ba855747c4629596f06b94915f8fc67b/1?pq-origsite=gscholar&cbl=1686344","",478,"2020-01-11 17:36:20","","","","",,,,,0,0.00,0,1,1
1,"L Pereira","Towards automated non-intrusive load monitoring performance evaluation",2013,"ICT4S 2013: Proceedings of the first …","pdfs.semanticscholar.org","https://pdfs.semanticscholar.org/7c99/0ad85ec87010c97cc73fbcb3b0ea3ff483a5.pdf","https://scholar.google.com/scholar?cites=17589634162633879308&as_sdt=2005&sciodt=0,5&hl=en",244,"2020-01-11 17:36:20","PDF","","","",,,,,1,0.14,1,1,7
2,"L Pereira","Towards Automating the Performance Evaluation of Non-Intrusive Load Monitoring Systems",2013,"on Information and Communication Technologies","academia.edu","http://www.academia.edu/download/32290317/2013_ICT4S_Final_Proceedings_APPENDIX.pdf#page=16","https://scholar.google.com/scholar?cites=15010110213041442668&as_sdt=2005&sciodt=0,5&hl=en",217,"2020-01-11 17:36:20","PDF","","","",,,,,2,0.29,2,1,7
104,"SM Tabatabaei, S Dick, W Xu","Toward non-intrusive load monitoring via multi-label classification",2016,"IEEE Transactions on Smart …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7498597/","https://scholar.google.com/scholar?cites=9989150899433001007&as_sdt=2005&sciodt=0,5&hl=en",12,"2020-01-11 17:36:20","","","","",,,,,104,26.00,35,3,4
13,"KS Barsim, B Yang","Toward a semi-supervised non-intrusive load monitoring system for event-based energy disaggregation",2015,"2015 IEEE Global Conference on Signal …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7418156/","https://scholar.google.com/scholar?cites=2465701541959483208&as_sdt=2005&sciodt=0,5&hl=en",83,"2020-01-11 17:36:20","","","","",,,,,13,2.60,7,2,5
1,"JM Gillis","Time-frequency analysis techniques for non-intrusive load monitoring",2016,"","ir.library.dc-uoit.ca","http://ir.library.dc-uoit.ca/handle/10155/744","https://scholar.google.com/scholar?cites=9295916188556611719&as_sdt=2005&sciodt=0,5&hl=en",263,"2020-01-11 17:36:20","","","","",,,,,1,0.25,1,1,4
43,"K Basu, V Debusschere, A Douzal-Chouakria, ...","Time series distance-based methods for non-intrusive load monitoring in residential buildings",2015,"Energy and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0378778815002133","https://scholar.google.com/scholar?cites=1603551750700144523&as_sdt=2005&sciodt=0,5&hl=en",28,"2020-01-11 17:36:20","","","","",,,,,43,8.60,11,4,5
